"EVENT_LAT","EVENT_LON","PI_DATE","depth","Se_IV_D_CONC_BOTTLE","Se_VI_D","Org_Se_II_CONC_BOTTLE","DATE","Sbeox0"
-12.006,-79.195,2013-10-29,375,0.27,0.59,0.18,"2013-10-28",2.356
-12.006,-79.195,2013-10-29,375,0.27,0.59,0.18,"2013-10-29",2.348
-12.006,-79.195,2013-10-29,300,0.1,0.48,0.69,"2013-10-28",2.565
-12.006,-79.195,2013-10-29,300,0.1,0.48,0.69,"2013-10-29",2.503
-12.006,-79.195,2013-10-29,260,0.1,0.85,NA,"2013-10-28",2.582
-12.006,-79.195,2013-10-29,260,0.1,0.85,NA,"2013-10-29",12.358
-12.006,-79.195,2013-10-29,236,0.25,0.66,NA,"2013-10-28",2.855
-12.006,-79.195,2013-10-29,211,0.12,0.71,0.37,"2013-10-28",2.849
-12.006,-79.195,2013-10-29,211,0.12,0.71,0.37,"2013-10-29",3.132
-12.006,-79.195,2013-10-29,181,0.21,0.64,0.32,"2013-10-28",5.695
-12.006,-79.195,2013-10-29,181,0.21,0.64,0.32,"2013-10-29",3.515
-12.006,-79.195,2013-10-29,130,0.19,0.53,0.29,"2013-10-28",4.118
-12.006,-79.195,2013-10-29,130,0.19,0.53,0.29,"2013-10-29",4.507
-12.006,-79.195,2013-10-29,80,0.14,0.62,0.21,"2013-10-28",8.533
-12.006,-79.195,2013-10-29,80,0.14,0.62,0.21,"2013-10-29",4.364
-12.006,-79.195,2013-10-29,65,0.11,0.4,0.36,"2013-10-28",183.068
-12.006,-79.195,2013-10-29,65,0.11,0.4,0.36,"2013-10-29",242.661
-12.006,-79.195,2013-10-29,45,0.16,1.4,0.78,"2013-10-28",271.475
-12.006,-79.195,2013-10-29,45,0.16,1.4,0.78,"2013-10-29",272.346
-12.006,-79.195,2013-10-29,30,0.05,0.37,0.41,"2013-10-28",274.15
-12.006,-79.195,2013-10-29,30,0.05,0.37,0.41,"2013-10-29",278.906
-12.006,-79.195,2013-10-29,20,0.02,0.57,0.26,"2013-10-28",287.022
-12.006,-79.195,2013-10-29,20,0.02,0.57,0.26,"2013-10-29",282.059
-12.045,-77.818,2013-11-02,499,0.39,0.69,0.23,"2013-11-02",2.364
-12.045,-77.818,2013-11-02,400,0.13,1.14,NA,"2013-11-02",2.246
-12.045,-77.818,2013-11-02,300,0.09,0.88,0.05,"2013-11-02",2.342
-12.045,-77.818,2013-11-02,200,0.14,0.43,0.71,"2013-11-02",2.708
-12.045,-77.818,2013-11-02,140,0.13,0.81,0.24,"2013-11-02",3.089
-12.045,-77.818,2013-11-02,111,0.2,0.8,0.1,"2013-11-02",3.322
-12.045,-77.818,2013-11-02,66,0.22,0.87,0.11,"2013-11-02",4.616
-12.045,-77.818,2013-11-02,48,0.14,0.68,0.13,"2013-11-02",12.563
-12.045,-77.818,2013-11-02,20,0.04,0.79,0.37,"2013-11-02",205.456
