"EVENT_LAT","EVENT_LON","PI_DATE","depth","Se_IV_D_CONC_BOTTLE","Se_VI_D","Org_Se_II_CONC_BOTTLE","meanOxygen"
-12.006,-79.195,2013-10-28,5495,0.68,1.13,NA,166.06
-12.006,-79.195,2013-10-28,5446,0.56,0.97,NA,171.255
-12.006,-79.195,2013-10-28,5395,0.16,1.15,0.25,173.579
-12.006,-79.195,2013-10-28,5320,0.76,0.7,0.47,174.388
-12.006,-79.195,2013-10-28,5146,0.75,0.88,0.44,171.993
-12.006,-79.195,2013-10-28,5047,0.44,0.88,0.6,171.407
-12.006,-79.195,2013-10-28,4796,0.61,0.89,0.31,171.524
-12.006,-79.195,2013-10-28,4597,0.75,0.54,0.84,169.682
-12.006,-79.195,2013-10-28,4397,0.25,1.34,NA,168.744
-12.006,-79.195,2013-10-28,3998,0.65,0.9,0.85,158.346
-12.006,-79.195,2013-10-28,3598,0.1,1.45,0.39,147.508
-12.006,-79.195,2013-10-28,3198,0.63,1.26,NA,144.733
-12.006,-79.195,2013-10-29,375,0.27,0.59,0.18,2.352
-12.006,-79.195,2013-10-29,300,0.1,0.48,0.69,2.534
-12.006,-79.195,2013-10-29,260,0.1,0.85,NA,7.47
-12.006,-79.195,2013-10-29,236,0.25,0.66,NA,2.855
-12.006,-79.195,2013-10-29,211,0.12,0.71,0.37,2.9905
-12.006,-79.195,2013-10-29,181,0.21,0.64,0.32,4.605
-12.006,-79.195,2013-10-29,130,0.19,0.53,0.29,4.3125
-12.006,-79.195,2013-10-29,80,0.14,0.62,0.21,6.4485
-12.006,-79.195,2013-10-29,65,0.11,0.4,0.36,212.8645
-12.006,-79.195,2013-10-29,45,0.16,1.4,0.78,271.9105
-12.006,-79.195,2013-10-29,30,0.05,0.37,0.41,276.528
-12.006,-79.195,2013-10-29,20,0.02,0.57,0.26,284.5405
-12.005,-79.195,2013-10-31,3200,0.55,1.05,0.31,NA
-12.005,-79.195,2013-10-31,2801,0.36,1.29,0.89,NA
-12.005,-79.195,2013-10-31,2401,0.6,0.99,0.26,135.351
-12.005,-79.195,2013-10-31,2001,0.39,1.26,0.05,112.963
-12.005,-79.195,2013-10-31,1599,0.61,1.14,NA,94.699
-12.005,-79.195,2013-10-31,1201,0.5,0.89,NA,71.035
