cruise_id,SECT_ID,STNNBR,CASTNO,GEOTRC_EVENTNO,EVENT_LAT,EVENT_LON,ISO_DATETIME_UTC_START_EVENT,BTMDEPTH,PI_DATE,PI_TIME,GEOTRC_SAMPNO,depth,SAMPNO,BTLNBR,As_III_D_CONC_BOTTLE,As_V_D_CONC_BOTTLE,Se_TD_CONC_BOTTLE,Se_IV_D_CONC_BOTTLE,Se_VI_D,Org_Se_II_CONC_BOTTLE,IODIDE_D_CONC_BOTTLE,IO3_D_CONC_BOTTLE,BTL_DATE,BTL_TIME,BTL_LAT,BTL_LON
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2000,5495.4,1,GF-01,nd,nd,nd,nd,nd,nd,nd,nd,20131028,2141,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2001,5495.4,2,GF-02,0.03,14.9,1.74,0.68,1.13,0,46.5,721,20131028,2141,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2002,5446.4,3,GF-03,nd,nd,nd,nd,nd,nd,nd,nd,20131028,2144,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2003,5446.4,4,GF-04,0.04,14.3,0.97,0.56,0.97,0,94.8,729.7,20131028,2144,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2004,5395.4,5,GF-05,nd,nd,nd,nd,nd,nd,nd,nd,20131028,2147,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2005,5395.4,6,GF-06,0.03,14.3,1.57,0.16,1.15,0.25,82.8,717.4,20131028,2147,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2006,5320.4,7,GF-07,nd,nd,nd,nd,nd,nd,nd,nd,20131028,2152,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2007,5320.4,8,GF-08,0.07,15.7,1.92,0.76,0.7,0.47,57.8,703.1,20131028,2152,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2008,5146.2,9,GF-11,nd,nd,nd,nd,nd,nd,nd,nd,20131028,2157,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2009,5146.2,10,GF-10,0.05,16,2.08,0.75,0.88,0.44,122,722.6,20131028,2157,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2010,5046.7,11,GF-13,nd,nd,nd,nd,nd,nd,nd,nd,20131028,2203,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2011,5046.7,12,GF-16,0.02,13.8,1.92,0.44,0.88,0.6,100,756.9,20131028,2203,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2012,4796.4,13,GF-19,nd,nd,nd,nd,nd,nd,nd,nd,20131028,2212,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2013,4796.4,14,GF-18,0.09,15.1,1.8,0.61,0.89,0.31,68.6,764.8,20131028,2212,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2014,4596.7,15,GF-21,nd,nd,nd,nd,nd,nd,nd,nd,20131028,2218,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2015,4596.7,16,GF-24,0.02,15.3,2.13,0.75,0.54,0.84,59.9,764,20131028,2218,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2016,4397.3,17,GF-29,nd,nd,nd,nd,nd,nd,nd,nd,20131028,2227,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2017,4397.3,18,GF-26,0.03,14.8,1.28,0.25,1.34,0,52.3,751.3,20131028,2227,-12.0057,-79.1952
TN303,EPZT,1,1,4009,-12.0057,-79.1952,2013-10-28T21:38:00.00Z,5524,20131028,2138,2018,3998.3,19,GF-31,nd,nd,nd,nd,nd,nd,nd,nd,20131028,2239,-12.0057,-79.1952
